timestamp,id_mercado,id_liga,momio_1,momio_2,momio_3,vig_pct,tendencia_1,tendencia_2,tendencia_3
2026-06-27T00:26:29.735058,882064519,31908718,2.2,2.5,3.75,12.12,DECR,DECR,INCR
2026-06-27T00:26:59.739184,882033592,31907951,1.5,3.6,5.6,12.3,INCR,DECR,DECR
2026-06-27T00:26:59.739263,884831180,31991082,1.222,4.5,12.0,12.39,DECR,INCR,INCR
2026-06-27T00:27:29.747957,882064379,31908715,1.153,5.8,16.0,10.22,DECR,DECR,INCR
2026-06-27T00:27:59.751164,884831180,31991082,1.25,4.4,11.0,11.82,INCR,DECR,DECR
2026-06-27T00:28:29.756056,882033592,31907951,1.533,3.5,5.6,11.66,INCR,DECR,INCR
2026-06-27T00:28:59.758229,882033592,31907951,1.533,3.5,5.6,11.66,DECR,INCR,DECR
2026-06-27T00:29:29.763259,882064379,31908715,1.166,5.6,15.0,10.29,DECR,DECR,INCR
2026-06-27T00:29:29.763323,882033592,31907951,1.444,3.7,6.6,11.43,DECR,INCR,DECR
2026-06-27T00:29:59.769995,882049625,31908321,1.071,6.8,46.0,10.25,INCR,INCR,DECR
2026-06-27T00:29:59.770047,882064379,31908715,1.142,5.8,18.0,10.36,INCR,INCR,DECR
2026-06-27T00:30:59.775823,882033592,31907951,1.45,3.65,6.25,12.36,INCR,DECR,DECR
2026-06-27T00:30:59.775900,882049625,31908321,1.083,6.6,41.0,9.93,DECR,DECR,INCR
